TM_TR,TM_MODEL,TM_KP,TM_NET,TM_ID,CONFERENCE,CONF_TYPE,WIN_25,LOSS_25,SEED_25,REG_SEED_25,REG_CODE_25,REGION_25,VEGAS_25,NET_25,BPI_25,BPI_Rk_25,TR_AdjEff_25,TR_ORk_25,TR_DRk_25,TR_AdjEff_25,TR_OEff_25,TR_DEff_25,WIN_24,LOSS_24,SEED_24,VEGAS_24,WIN_23,LOSS_23,SEED_23,KP_Rank,KP_AdjEM,KP_AdjO_Rk,KP_AdjO,KP_AdjD_Rk,KP_AdjD,KP_SOS_AdjEM,KP_NCSOS_AdjEM,BPI_Rank,BPI_24,PTS/GM,AVG MARGIN,FGM/GM,FGA/GM,OFF EFF,DEF EFF,NET_eFG%,eFG%,TS%,3PT%,2PT%,FT%,3PTM/GM,3PTA/GM,OFF REB/GM,DEF REB/GM,TTL REB/GM,OFF REB%,DEF REB%,TTL REB%,BLKS/GM,STL/GM,AST/GM,TO/GM,AST/TO%,WIN% ALL GM,WIN% CLOSE GM,POSS/GM,PF/GM,OPP PTS/GM,OPP AVG MARGIN,OPP FG%,OPP eFG%,OPP 3PT%,OPP 2PT%,OPP FT%,OPP TS%,OPP AST/GM,OPP TO/GM,OPP AST/TO%,NET AST/TOV RATIO,STOCKS/GM,STOCKS-TOV/GM
GA Southern,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
NC-Grnsboro,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
F Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,1192,NEC,MM,13,20,,,,,,,-7.8,236,,237,134,,0.988,1.042,15,17,0,,19,15,16,308,-12.51,253,98.3,208,110.8,259,69.1,,,70.5,-3.9,24.7,58.2,0.988,1.042,-1.4,49.1,105.1,32.2,49.7,71.5,7.8,24.1,7.8,21.9,32.9,23.8,70.1,46.6,2.7,6.8,13.2,11.9,1.112,0.333,0.273,71.3,16.2,74.4,3.9,45.1,50.5,30.3,53.3,76,108.5,13.6,12.3,1.108,0.00,9.5,-2.4
Saint Mary's,Saint Mary's,Saint Mary's,Saint Mary's (CA),1388,WCC,MM,28,5,7,E7,E,EAST,,21,13.7,29,,43,278,,1.107,0.940,26,7,5,,26,7,5,22,23.09,56,115.3,8,92.2,8,61.7,,,72.7,11,26.7,59.5,1.107,0.94,3.8,50.3,106.4,32.3,51.2,69.5,6.4,19.8,12.1,23.8,39.3,38.4,77.9,57.2,4,6.1,15,9.6,1.572,0.824,0.667,65.7,15.1,61.8,-11,41.5,46.5,31.5,46.2,74.5,99.8,12.4,10.4,1.189,0.38,10.1,0.5
S Utah,Southern Utah,Southern Utah,Southern Utah,1381,WAC,MM,12,19,,,,,,306,-8.6,244,,275,122,,0.929,1.048,12,20,0,,22,12,0,295,-11.14,256,98.1,186,109.3,229,68.9,,,66.8,-8.5,23.3,55.7,0.929,1.048,-3.1,46.8,102.3,30.5,47.2,72.9,5.5,18.1,8.5,22.8,35.3,27.8,69.6,49.5,4,4.7,11.3,15.1,0.745,0.321,0.5,71.9,18.3,75.3,8.5,45.3,49.9,33.3,49.8,68.5,105.8,14.1,10.6,1.334,-0.59,8.7,-6.4
Nicholls,Nicholls St.,Nicholls St.,Nicholls,1311,,,,,,,,,,171,-1.4,149,,185,198,,1.017,1.013,20,15,0,,16,15,0,,,,,,,,,,,72,0.3,25.2,60.6,1.017,1.013,0,48.1,102.8,35,45.6,68.6,7.8,22.3,9.9,23.2,37.1,29.3,71,49.2,3.7,7.3,10.8,10.5,1.029,0.567,0.583,70.8,17.9,71.7,-0.3,42.4,48.1,30.1,49.9,71.1,104,12.4,11.5,1.081,-0.05,11.0,0.5
Weber St,Weber St.,Weber St.,Weber St.,1451,BSky,MM,12,22,,,,,,301,-5.0,208,,214,31,,1.002,1.098,20,12, ,,18,15,0,300,-11.48,222,101.1,236,112.6,299,65.6,,,67.9,-6.5,24,54.4,1.002,1.098,-3.2,50.2,107.1,32.4,51.1,70.1,6.5,20.2,6.6,21.5,31.2,21.8,71.2,47.3,2.2,6.4,10.3,11.2,0.916,0.29,0.333,67.7,18.2,74.4,6.5,45.5,53.4,36.7,52.2,73.6,114,13.9,10.9,1.272,-0.36,8.6,-2.6
Michigan St,Michigan St.,Michigan St.,Michigan St.,1277,B10,P5,26,5,2,S2,S,SOUTH,,11,17.3,11,,50,275,,1.104,0.945,19,14,9,,19,12,7,8,27.57,27,118.1,5,90.6,5,67.7,,,78.2,11.2,27.3,59.4,1.104,0.945,5,51.1,111.5,31,53.3,77.6,6,19.5,10.6,26.4,40.1,34.2,77.5,56.7,4.5,5.4,16.7,11.5,1.459,0.829,0.571,70.8,16.8,67,-11.2,40.4,46.1,27.8,49.1,71.6,99.9,12.3,11.3,1.096,0.36,9.9,-1.6
UCSB,UC Santa Barbara,UC Santa Barbara,UC Santa Barbara,1364,BW,MM,20,12,,,,,,140,-0.1,136,,90,191,,1.071,1.015,,,,,27,7,14,147,1.58,124,108.8,155,107.2,186,65.4,,,73.2,3.8,25.3,55.4,1.071,1.015,5.7,54.6,115.8,38.1,52.4,77.2,10,26.3,7.3,22.6,33.2,25.4,74.2,49.9,3,6.1,14.7,12.1,1.217,0.594,0.667,68.4,17,69.4,-3.8,43.2,48.9,30.8,50.5,77.4,106.4,11.3,11.4,0.986,0.23,9.1,-3.0
Wofford,Wofford,Wofford,Wofford,1459,SC,MM,24,7,15,MW15,MW,MIDWEST,,131,0.9,126,,57,85,,1.098,1.065,17,15, ,,17,16,0,120,4.16,67,113.6,187,109.5,231,64,,,73.1,2.2,25.9,57.6,1.098,1.065,1.3,53.2,110.8,34.8,54.2,66.7,9.5,27.5,10.4,23,36.7,33.6,75.6,54.3,2.6,5.5,14.2,11,1.295,0.515,0.3,66.5,17.3,70.8,-2.2,44,51.9,34.5,52,69.2,110,12,9.6,1.25,0.04,8.1,-2.9
Houston,Houston,Houston,Houston,1222,B12,P5,27,4,1,MW1,MW,MIDWEST,,3,23.7,2,,17,286,,1.134,0.890,30,4,1,,31,3,1,3,35.44,10,123.2,2,87.8,2,61.4,,,74.5,16.1,27,59.1,1.134,0.89,7.6,52.6,111.2,39.8,48.8,74.1,8.1,20.4,10.9,22.1,36.5,36,75.5,53.8,4.6,8,12.1,9.2,1.324,0.889,0.5,65.7,16.3,58.4,-16.1,38.4,45,30.6,44.3,71,98.2,11,13.7,0.805,0.52,12.6,3.4
Stony Brook,Stony Brook,Stony Brook,Stony Brook,1392,CAA,MM,12,20,,,,,,340,-9.2,253,,234,13,,0.990,1.132,20,15, ,,0,0,0,332,-15.74,207,101.9,271,117.6,351,64.4,,,65.6,-9.4,22.7,55.2,0.99,1.132,-8.3,47.7,103.4,33.8,45.7,74.5,7.3,21.5,8.4,19.7,32.5,26.3,69.7,48.3,2,4.9,11.1,11.8,0.935,0.226,0.5,66.3,15.4,75.1,9.4,48.4,56,36.3,57.2,69.9,116.2,16.2,9.6,1.676,-0.74,6.9,-4.9
Michigan,Michigan,Michigan,Michigan,1276,B10,P5,22,9,5,S5,S,SOUTH,,23,13.7,29,,86,253,,1.074,0.977,8,24, ,,17,15,0,25,22.28,46,116,14,93.7,14,69.4,,,78.3,7.1,27.5,58.4,1.074,0.977,8.1,54.2,114.8,33.3,57.3,72.7,8.2,24.7,9.4,25.8,38.6,31.6,72.9,53.4,3.6,5.3,16.1,13.9,1.155,0.75,0.765,73,17.1,71.3,-7.1,40.1,46.1,30.9,46,73,99.6,11.3,11.2,1.015,0.14,8.9,-5.0
Marshall,Marshall,Marshall,Marshall,1267,SB,MM,21,12,,,,,,177,-1.6,156,,133,191,,1.046,1.015,13,20,0,,24,8,0,169,-0.52,159,106.3,144,106.8,175,68.7,,,74.7,2.3,26.3,60.3,1.046,1.015,0.6,49.9,106.3,32.3,51,69,7.7,23.9,10.3,23,37.2,31,74.1,51.2,5.5,6.2,14,11.4,1.226,0.581,0.583,71.4,19.5,72.5,-2.3,44,49.3,32.2,49.7,70.7,106.8,10.1,11.6,0.867,0.36,11.7,0.3
Providence,Providence,Providence,Providence,1344,BE,P5,24,7,,,,,,100,6.5,77,,151,110,,1.036,1.053,21,13, ,,21,11,11,97,7,84,112.1,118,105.1,136,66.2,,,71.3,-1.2,25.2,57.3,1.036,1.053,2.6,52.1,109.2,35.6,51.1,68.6,9.3,26.1,9.6,24,37.1,30.8,74.5,52.8,3.4,5,12.9,12.7,1.015,0.375,0.2,68.9,17.2,72.5,1.2,43.3,49.5,33.5,49,72.6,106.3,12.5,9.2,1.356,-0.34,8.4,-4.3
Sacred Hrt,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Seton Hall,Seton Hall,Seton Hall,Seton Hall,1371,BE,P5,7,25,,,,,,211,0.4,132,,278,124,,0.918,1.047,20,12, ,,17,15,0,206,-3.42,249,98.7,77,102.2,88,64.4,,,61.6,-8.6,22.1,55.3,0.918,1.047,-10,44.7,96.3,31.2,43.9,66.3,5.3,16.8,9.4,18.3,31.1,28.7,69.8,47.8,3.3,8.1,11.2,12.5,0.898,0.219,0.417,67,18,70.2,8.6,46.6,54.7,36.6,54.5,72.6,116.2,14,14.6,0.961,-0.06,11.4,-1.1
N Hampshire,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Seattle,Seattle,Seattle,Seattle U,1370,WAC,MM,21,11,,,,,,155,0.6,129,,224,251,,0.994,0.978,19,14, ,,20,12,0,146,1.59,181,104,81,102.4,92,65.9,,,68.8,1.1,22.8,55.8,0.994,0.978,-4.7,46.5,102.6,31.3,46.3,71.3,6.3,20.2,9,21.3,33.6,27.6,75.4,49.9,3.1,8,11.7,11.5,1.02,0.4,0.273,69.1,17.7,67.6,-1.1,45,51.2,31.9,53.3,72.1,109.8,13.3,14.1,0.941,0.08,11.1,-0.4
Mt St Mary's,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,1291,MAAC,MM,15,17,16,E16,E,EAST,,236,-4.6,197,,229,201,,0.991,1.012,15,17,0,,13,20,0,250,-6.67,232,100.1,144,106.8,176,67.4,,,69.3,-1.4,24.5,55.8,0.991,1.012,2.2,50.9,108.4,34.5,50.3,73.3,7.9,22.9,8.5,25.4,37.1,28.1,73.5,52.6,2.6,5.9,14.7,14.7,1.004,0.629,0.778,69.9,15.6,70.7,1.4,41.5,48.7,31.8,49.4,73.9,103.8,13.2,10.7,1.232,-0.23,8.5,-6.2
N Iowa,Northern Iowa,Northern Iowa,UNI,1320,MVC,MM,21,10,,,,,,93,3.1,104,,72,198,,1.084,1.013,19,14, ,,14,18,0,101,5.81,105,109.8,100,104,115,64.9,,,72.6,4.8,26.2,53.9,1.084,1.013,3.8,55.2,115.4,36.8,55.2,68.8,7.2,19.6,6.2,23.2,32.5,21.7,75.9,50.6,2.9,5.8,13.8,10.5,1.322,0.594,0.6,66.9,14.7,67.8,-4.8,44.2,51.4,35.6,50,70.1,108.2,10.9,11.4,0.962,0.36,8.7,-1.8
Ste F Austin,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Bowling Grn,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
San Diego,San Diego,San Diego,San Diego,1360,WCC,MM,6,27,,,,,,324,-9.7,255,,262,43,,0.954,1.089,20,11,0,,0,0,0,296,-11.25,238,99.4,204,110.6,255,71,,,70.2,-10,24.8,61.4,0.954,1.089,-8.3,45.7,99.8,29.7,46.3,75.1,6.5,22,9.6,21.3,34.4,27.3,70.4,47.7,3.5,7.3,11.3,13.2,0.858,0.156,0.286,73.6,21.2,80.2,10,46.6,54,38.5,51.6,73.4,116.3,15.1,13.3,1.137,-0.28,10.8,-2.4
Morehead St,Morehead St.,Morehead St.,Morehead St.,1287,OVC,MM,15,17,,,,,,317,-8.9,248,,264,127,,0.953,1.045,26,8,14,50000,21,11,0,327,-14.8,259,97.6,231,112.4,292,63.9,,,63.7,-6.1,22.1,54.3,0.953,1.045,-4.4,45.9,99.5,31.2,45.5,67.4,5.8,18.6,9.1,23.1,35.6,28.2,77.1,52.1,2.3,5.3,10.6,12,0.888,0.414,0.667,66.8,16.7,69.8,6.1,44.6,50.3,34.1,49.9,75.1,108.7,11.3,9.4,1.201,-0.31,7.6,-4.4
Monmouth,Monmouth,Monmouth,Monmouth,1284,CAA,MM,13,20,,,,,,258,-4.7,200,,203,57,,1.009,1.081,18,15, ,,0,0,0,267,-8.58,182,103.9,231,112.4,294,67,,,70.3,-5,23.8,57.8,1.009,1.081,-3.5,47.2,103.6,35.2,44.2,74.2,7.1,20,9,21.9,34.1,27.9,66.7,47.3,4.5,5.9,11.8,11,1.069,0.394,0.444,69.7,17.9,75.4,5,43.8,50.7,33.8,50.7,73,109,14.3,11.3,1.263,-0.19,10.4,-0.6
Pepperdine,Pepperdine,Pepperdine,Pepperdine,1337,WCC,MM,12,20,,,,,,227,-4.5,193,,198,46,,1.012,1.087,16,17,0,,0,0,0,216,-4.23,154,106.4,204,110.6,253,69,,,71.8,-5.4,25.8,58.9,1.012,1.087,-2.9,49.6,106,34,48.9,71.6,6.9,20.4,8,22.9,34.5,25.2,72.1,48.7,2.7,6,15.4,11.1,1.381,0.353,0.5,71,15.7,77.2,5.4,45.9,52.5,34.2,53.3,75.2,111.2,14.6,10.6,1.387,-0.01,8.7,-2.4
Omaha,Nebraska Omaha,Nebraska Omaha,Omaha,1303,Sum,MM,25,9,15,W15,W,WEST,,160,-2.8,174,,65,58,,1.091,1.080,11,21,0,,0,0,0,156,0.51,94,111,203,110.5,252,67.7,,,77,0.8,26.7,58.5,1.091,1.08,-0.6,52.6,112.3,35.6,52.1,73,8.2,22.9,8.8,23.7,35.4,28.3,77.4,51.7,2.2,5.8,13.3,10.8,1.234,0.606,0.667,70.6,18.4,76.2,-0.8,45.3,53.2,35.2,53.5,71.9,113.2,13.5,10.2,1.323,-0.09,8.0,-2.8
Delaware,Delaware,Delaware,Delaware,1174,CAA,MM,14,18,,,,,,235,-4.1,189,,91,31,,1.070,1.098,19,14, ,,17,16,0,232,-5.58,117,109.3,253,114.9,325,70.3,,,76.8,-2,27.4,57.5,1.07,1.098,2.9,55.1,116.8,37.7,54.1,77.7,8.6,22.9,5.9,21.7,31.2,19.8,69.3,46.1,2.8,6.3,13.9,11.6,1.195,0.412,0.3,71.7,17,78.7,2,46.2,52.2,35.3,51.9,73.9,111.4,12.8,10.9,1.173,0.02,9.1,-2.5
Akron,Akron,Akron,Akron,1103,MAC,MM,15,17,13,E13,E,EAST,,91,3.2,102,,35,171,,1.117,1.024,24,10,14,,22,11,0,99,6.58,66,113.7,153,107.1,183,71.4,,,83.4,7,29.9,64.1,1.117,1.024,4.8,54.9,115.4,36.4,55.2,75.1,10.5,29,9.8,24.6,37.8,30.8,73.2,51.8,3.7,7.5,17.3,11.9,1.455,0.788,0.714,74.6,18.2,76.4,-7,43.9,50.1,32.4,51,72.3,107.2,12.2,12.6,0.971,0.48,11.2,-0.7
Richmond,Richmond,Richmond,Richmond,1350,A10,MM,10,22,,,,,,253,-3.7,185,,245,52,,0.981,1.084,23,9, ,,15,18,0,238,-6.02,195,103,183,109,224,63.7,,,65.6,-6.9,22.4,54.4,0.981,1.084,-4.3,48.4,105.8,31.2,49.7,80.8,7.7,24.8,5.4,22.6,30.2,17.7,74.3,45.8,2,6,11.6,10.1,1.145,0.267,0.455,66.9,17.5,72.6,6.9,44.1,52.7,35.4,52.4,72.3,112.5,12.7,10.4,1.221,-0.08,8.0,-2.1
Indiana,Indiana,Indiana,Indiana,1231,B10,P5,23,9,,,,,,54,10.6,51,,131,201,,1.049,1.012,19,14, ,,22,11,4,48,16.18,67,113.6,35,97.4,38,67.9,,,74.7,2.6,27.2,59.4,1.049,1.012,1.3,51.1,108.6,32.1,52.6,70.6,6.3,19.8,9.1,23.6,36.4,29.1,74.3,51.9,3.3,5.8,15.9,11.6,1.372,0.594,0.429,71.2,16.6,72,-2.6,43.4,49.8,32.7,50.3,72.5,106.1,13.4,11.3,1.179,0.19,9.1,-2.5
Robert Morris,Robert Morris,Robert Morris,Robert Morris,1352,Horz,MM,13,17,15,E15,E,EAST,,139,-1.0,142,,87,224,,1.073,0.999,3,29,0,,16,17,0,139,2.09,147,107,117,104.9,134,67.8,,,76.9,5.3,26.6,59.5,1.073,0.999,0.5,51.2,109.7,34.6,50.7,71.8,7.6,21.9,11.1,22.7,36.8,34.7,74.5,53.2,4.4,6.4,16.1,12.7,1.263,0.735,0.667,71.7,16.7,71.6,-5.3,44.7,50.7,34,50.6,72.4,107.9,13.5,13.1,1.034,0.23,10.8,-1.9
S Illinois,Southern Illinois,Southern Illinois,Southern Ill.,1356,MVC,MM,14,19,,,,,,195,-2.4,168,,169,64,,1.028,1.075,19,13, ,,23,10,0,193,-2.74,170,105.6,172,108.3,210,67.9,,,72.2,-3.3,26.1,57.2,1.028,1.075,-1,51.6,108.6,35.1,51,67.8,6.7,19.2,9.3,23.3,35.3,29.7,75.5,51.4,3,6,13.7,12.5,1.09,0.387,0.5,70.2,16.9,75.5,3.3,45.4,52.6,36.1,51.5,70.9,111.2,14.3,10.5,1.364,-0.27,9.0,-3.5
Missouri,Missouri,Missouri,Missouri,1281,SEC,MM,27,4,6,W6,W,WEST,,16,13.7,29,,8,158,,1.170,1.030,8,24, ,,24,9,7,15,24.42,5,125.3,65,100.9,73,68.2,,,83.6,10,27.6,57.3,1.17,1.03,4.9,55.8,119.2,36.7,56.3,73,8.7,23.7,9.6,21.4,34.1,32.4,69.3,51,2.6,9.4,13.7,10.9,1.262,0.647,0.333,71.5,18.2,73.6,-10,44.6,50.9,33.6,51.2,75.3,110,12.5,14.1,0.887,0.38,12.0,1.1
Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,1331,Sum,MM,7,23,,,,,,334,-9.6,254,,194,2,,1.013,1.169,9,24,0,,30,4,12,328,-14.92,196,102.8,273,117.7,354,67.2,,,71.1,-10.9,23.7,56.2,1.013,1.169,-5,50,108.5,34.4,48.5,75.9,8.8,25.7,6,19.9,29.8,19.1,68.2,44.1,2.5,4.7,9.4,11.2,0.845,0.154,0.4,70.2,18.6,82,10.9,47.9,55,35,56.6,77.2,118,15.3,9.5,1.607,-0.76,7.2,-4.0
Wichita St,Wichita St.,Wichita St.,Wichita St.,1455,Amer,MM,18,13,,,,,,134,2.1,110,,173,184,,1.025,1.019,15,19, ,,17,15,0,134,2.68,149,106.8,105,104.1,119,68.6,,,73.6,0.5,26.6,60,1.025,1.019,-1.4,48.6,105.2,30.2,49.9,72.7,5.2,17.1,9.6,25.1,38.4,29.9,74,52,4.4,6.7,11.9,11.4,1.043,0.546,0.636,71.8,15.4,73.1,-0.5,43.6,50,33.6,49.7,67,104.8,13.7,10.8,1.265,-0.22,11.1,-0.3
LA Tech,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Loyola-Chi,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
U Penn,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
S Carolina,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
TX A&M-CC,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Louisville,Louisville,Louisville,Louisville,1257,ACC,P5,25,6,8,S8,S,SOUTH,,24,14.0,28,,38,243,,1.110,0.983,8,24, ,,0,0,0,23,22.64,27,118.1,20,95.5,21,68.7,,,78.5,9,27.1,59.7,1.11,0.983,3.5,53.2,113.4,32.8,56.8,74.6,9.4,28.5,9.7,24.9,37.3,30.7,74.9,52.7,2.9,6.4,13.9,11.3,1.23,0.771,0.857,70.7,15.6,69.5,-9,42.9,49.7,34.1,48.7,71.2,105.1,11.8,12.8,0.92,0.31,9.3,-2.0
Ball St,Ball St.,Ball St.,Ball St.,1123,MAC,MM,15,16,,,,,,276,-5.4,213,,126,69,,1.052,1.073,16,16,0,,20,12,0,275,-9.34,191,103.4,240,112.8,303,66.4,,,73.8,-1.5,24.8,55.1,1.052,1.073,-0.3,51.3,110.5,34.6,51,70.3,7.1,20.5,7.4,23.1,34.2,23.9,72.4,49.6,2.2,4.6,12.7,11.3,1.127,0.393,0.5,70.1,16.4,75.3,1.5,45.4,51.6,31.5,54.5,72.4,109.5,14.3,9.7,1.48,-0.35,6.8,-4.5
Alcorn St,Alcorn St.,Alcorn St.,Alcorn,1108,SWAC,MM,16,15,,,,,,330,-10.3,260,,259,85,,0.961,1.065,13,19,0,,18,13,0,325,-14.58,259,97.6,225,112.2,281,64.6,,,65.3,-7.1,23.7,57.3,0.961,1.065,-6.9,46.1,99.7,31.8,45.4,72,5.4,16.9,10.2,20.5,33.5,32.3,69.2,49.7,2.6,6.6,10.3,12.9,0.798,0.355,0.429,68,16.7,72.4,7.1,45.3,53,34.1,54.6,72.1,111.9,15.5,12.2,1.276,-0.48,9.2,-3.7
N Dakota St,North Dakota St.,North Dakota St.,North Dakota St.,1295,Sum,MM,17,10,,,,,,136,-1.2,143,,6,25,,1.172,1.104,14,18,0,,16,17,0,133,2.78,53,115.4,236,112.6,297,64.8,,,80.7,4.7,27,56.8,1.172,1.104,6.8,58.2,123.1,39.8,56.5,79,12.1,30.4,7.2,24.1,33.9,24.6,72.4,50.2,1.8,3.6,14.9,10.6,1.412,0.621,0.455,68.9,15.1,76,-4.7,44.6,51.4,34.3,51.3,70.1,107.8,11.5,7.5,1.528,-0.12,5.4,-5.2
Drexel,Drexel,Drexel,Drexel,1180,CAA,MM,15,18,,,,,,185,-1.2,143,,140,198,,1.042,1.013,20,12, ,,17,15,0,187,-2.05,182,103.9,130,106,154,62.9,,,69.6,2,26.2,57.4,1.042,1.013,4.4,52.2,108.7,35,51.9,69.8,7.5,21.3,9.4,23.6,36.2,32,72.1,52.3,4.5,4.9,12.7,12.1,1.046,0.531,0.455,66.8,14.8,67.6,-2,42.3,47.8,31.6,48.1,69.2,101.6,12.1,9.4,1.286,-0.24,9.4,-2.7
Gard-Webb,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
NC Central,North Carolina Central,North Carolina Central,N.C. Central,1300,MEAC,MM,15,17,,,,,,319,-6.0,217,,156,28,,1.033,1.101,14,18,0,,18,12,0,323,-14.33,198,102.7,268,117.1,348,66.8,,,74,-4.9,25.6,57.7,1.033,1.101,-4.7,50.1,107.8,33.7,49.9,70.1,6.6,19.6,10.4,17.6,31.2,32.6,62.3,47.1,2.2,7.3,14,13.4,1.041,0.345,0.467,71.6,20.3,78.8,4.9,49.4,54.8,32.7,57.6,72.4,116.7,13.4,14.7,0.911,0.13,9.5,-3.9
Kansas St,Kansas St.,Kansas St.,Kansas St.,1243,B12,P5,16,17,,,,,,75,8.4,62,,180,222,,1.019,1.001,19,14, ,,23,9,3,67,12.21,115,109.4,33,97.1,36,67,,,70.8,1.2,25.9,58.9,1.019,1.001,1.6,50.6,106.3,32.5,51.8,69.1,7.7,23.7,8.8,21.5,33.9,27.6,69,48.8,3.5,7.4,15.3,12.1,1.266,0.485,0.455,69.5,15.6,69.6,-1.2,43.3,49,31.5,49.9,73.4,104.7,14,12.3,1.138,0.13,10.9,-1.2
Tarleton St,Tarleton St.,Tarleton St.,Tarleton St.,1470,WAC,MM,14,17,,,,,,302,-7.5,235,,285,177,,0.876,1.021,23,9, ,,17,16,0,286,-10.4,276,93,92,103.4,104,65.5,,,60.2,-10,20.6,49.4,0.876,1.021,-6.2,45.9,101.9,32.2,45,72.9,4.1,12.6,7.3,18.7,29,25.8,68.4,47.1,3.4,8.8,9.6,16.9,0.565,0.31,0.333,68.8,19.3,70.2,10,44.9,52.1,33.9,52.9,73.5,113.6,13.7,15.7,0.877,-0.31,12.2,-4.7
Hawaii,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Coastal Car,Coastal Carolina,Coastal Carolina,Coastal Carolina,1157,SB,MM,10,22,,,,,,328,-10.4,262,,216,38,,0.999,1.093,14,18,0,,0,0,0,329,-15.03,229,100.4,257,115.4,333,63.2,,,66,-6.2,22.9,53.7,0.999,1.093,0.8,49.4,105.5,34.8,47.7,69.4,7.3,21.1,8.2,24.5,36,26.4,73,50.9,1.6,3.1,11.3,11.7,0.96,0.267,0.273,66,17.8,72.2,6.2,42.7,48.6,32.5,48.5,73.3,105.7,10.5,6.8,1.552,-0.59,4.7,-7.0
Rhode Island,Rhode Island,Rhode Island,Rhode Island,1348,A10,MM,22,11,,,,,,152,1.0,124,,122,163,,1.054,1.027,11,18,0,,0,0,0,150,0.91,132,108.1,155,107.2,187,70.4,,,77.1,2,26.6,57.5,1.054,1.027,3.5,52.8,112.2,34.6,53.3,69.3,7.5,21.7,8.5,25.2,36.8,26.7,73.1,50.7,3.3,5.8,13.7,12.8,1.068,0.567,0.556,73.2,16.3,75.2,-2,43,49.3,31.5,50.6,72.9,105.6,13.9,11.5,1.209,-0.14,9.1,-3.7
Presbyterian,Presbyterian,Presbyterian,Presbyterian,1342,BSth,MM,17,15,,,,,,240,-3.8,187,,145,64,,1.040,1.075,11,21,0,,0,0,0,231,-5.39,176,104.5,193,109.9,240,64.1,,,70.5,-2.3,25.7,57.1,1.04,1.075,-1.9,51.1,107.7,36,49.7,68.5,7,19.4,8.5,20.8,32.1,27.3,71.3,48.6,3,6.3,12,10.7,1.118,0.367,0.333,67.8,18.3,72.9,2.3,47,53,34.3,53.8,72,113.1,11.9,11.8,1.011,0.11,9.3,-1.4
Lehigh,Lehigh,Lehigh,Lehigh,1250,PL,,16,15,,,,,,281,-6.2,218,,218,120,,0.998,1.050,9,22,0,,16,14,0,282,-10.21,227,100.6,208,110.8,260,67.2,,,68.7,-3.6,24.6,55.6,0.998,1.05,0.4,51.1,107.5,36.4,49.1,67.8,7.5,20.7,5.7,22,30.5,18.7,72.8,46,2.1,5.8,12.6,10.5,1.2,0.321,0.333,68.8,16.3,72.3,3.6,45,50.7,31.2,53,74.2,109,12.5,10.8,1.152,0.05,7.9,-2.6
